X,Y,Q
3.1,7.83,1.0
7.79,-1.03,4.0
9.14,-3.25,4.0
-9.16,7.78,2.0
-6.71,-8.08,3.0
-4.31,-2.12,3.0
-5.2,-9.39,3.0
-3.13,6.59,2.0
2.45,-9.18,4.0
9.68,4.06,1.0
-2.39,4.67,2.0
-0.62,-1.57,3.0
-0.45,-5.84,3.0
9.64,-7.24,4.0
-6.98,-6.13,3.0
-5.95,1.08,2.0
8.28,-3.07,4.0
-8.37,4.41,2.0
-6.44,-9.78,3.0
7.59,-6.29,4.0
9.64,4.39,1.0
-3.06,7.92,2.0
9.71,-0.89,4.0
-4.81,-4.69,3.0
7.86,-8.65,4.0
-4.42,-8.42,3.0
4.05,-3.84,4.0
-1.63,7.98,2.0
8.17,6.77,1.0
1.0,-8.21,4.0
6.01,2.06,1.0
8.36,-6.11,4.0
-7.46,-3.07,3.0
-8.59,0.63,2.0
-3.2,9.62,2.0
6.04,0.61,1.0
-4.77,-4.55,3.0
8.82,1.58,1.0
4.41,0.35,1.0
8.53,-8.68,4.0
-8.45,6.6,2.0
-9.04,0.7,2.0
3.53,-4.5,4.0
-8.28,4.92,2.0
8.73,-3.04,4.0
-7.16,-9.56,3.0
-3.43,-5.69,3.0
2.87,8.68,1.0
1.89,-8.97,4.0
-8.77,-6.89,3.0
4.73,-0.57,4.0
-8.9,-4.61,3.0
-7.75,2.03,2.0
2.06,9.2,1.0
-4.68,-4.75,3.0
-4.86,7.92,2.0
8.92,8.1,1.0
2.51,2.51,1.0
4.7,0.13,1.0
5.64,-5.06,4.0
5.59,-3.5,4.0
5.67,4.04,1.0
-0.48,5.02,2.0
1.6,-5.24,4.0
-8.55,9.84,2.0
-5.71,8.22,2.0
1.93,-1.77,4.0
3.15,-7.05,4.0
1.93,4.68,1.0
-6.64,-0.75,3.0
4.26,1.47,1.0
-4.6,9.47,2.0
-4.44,8.84,2.0
-7.28,8.31,2.0
4.68,6.62,1.0
6.62,-8.8,4.0
4.6,6.61,1.0
0.77,-7.25,4.0
1.29,0.48,1.0
3.87,-9.92,4.0
6.05,0.63,1.0
-2.5,4.07,2.0
-1.96,-9.83,3.0
2.33,-5.9,4.0
7.83,-2.07,4.0
-0.5,6.26,2.0
-8.12,0.51,2.0
-9.19,-3.01,3.0
5.47,-6.46,4.0
6.71,-5.34,4.0
3.12,-2.98,4.0
-6.69,4.7,2.0
4.75,1.85,1.0
-7.68,7.08,2.0
-0.87,-9.6,3.0
-2.51,-4.46,3.0
7.47,-1.69,4.0
-5.65,-2.75,3.0
9.11,-5.94,4.0
-1.19,-1.38,3.0
-2.98,3.07,2.0
3.19,-9.98,4.0
-2.23,-9.66,3.0
9.18,-8.26,4.0
3.64,0.73,1.0
0.72,-7.58,4.0
-2.93,2.75,2.0
-9.96,1.29,2.0
2.95,-2.39,4.0
-4.09,2.28,2.0
6.6,-2.79,4.0
5.59,-2.41,4.0
8.21,-3.5,4.0
4.09,-6.16,4.0
-6.25,7.63,2.0
-5.8,3.34,2.0
-3.91,-6.14,3.0
3.36,-1.8,4.0
0.09,-9.17,4.0
0.3,6.09,1.0
5.42,-4.03,4.0
5.02,-2.95,4.0
8.83,5.62,1.0
8.58,3.55,1.0
-7.73,-3.95,3.0
7.25,-6.25,4.0
-9.21,2.84,2.0
3.97,-4.32,4.0
-9.73,6.92,2.0
4.71,-2.7,4.0
