X,Y,Q
3.82,-9.99,2.0
9.27,-2.02,2.0
2.37,-1.13,2.0
9.73,6.96,2.0
2.5,0.52,2.0
2.93,-2.05,2.0
6.28,-7.4,2.0
1.28,6.21,1.0
-6.02,-7.8,2.0
-4.69,-7.71,2.0
-0.92,0.71,1.0
1.08,8.82,1.0
-4.45,-6.5,2.0
-9.26,9.03,2.0
8.39,-3.31,2.0
4.42,2.68,2.0
7.39,4.61,2.0
-0.11,3.09,1.0
1.55,-9.6,2.0
-2.96,-6.29,2.0
7.04,4.22,2.0
6.84,-1.27,2.0
-3.76,3.61,2.0
0.26,-4.16,2.0
-1.92,-8.6,2.0
-9.49,5.14,2.0
-4.5,-0.01,2.0
7.22,9.26,2.0
4.11,9.36,2.0
-5.81,-4.54,2.0
1.53,-2.74,2.0
-1.74,-8.4,2.0
-3.85,7.87,2.0
-1.48,-1.3,2.0
-4.28,1.28,2.0
6.92,8.57,2.0
-5.06,7.91,2.0
-8.83,-2.53,2.0
9.47,6.4,2.0
2.95,-4.45,2.0
-9.57,-3.43,2.0
-4.73,-3.51,2.0
-7.68,2.24,2.0
3.21,6.32,2.0
-5.62,4.77,2.0
-4.63,-5.01,2.0
-1.75,-0.69,2.0
-5.83,6.21,2.0
-7.64,8.87,2.0
3.82,7.94,2.0
-7.65,2.22,2.0
1.74,-6.41,2.0
-3.76,1.89,2.0
5.17,2.49,2.0
-9.48,-8.74,2.0
0.39,-9.97,2.0
-3.15,-1.93,2.0
2.77,-9.09,2.0
3.59,-0.98,2.0
5.67,-7.66,2.0
9.85,1.12,2.0
-1.75,-2.99,2.0
-9.17,-7.21,2.0
-9.59,1.39,2.0
-6.85,-3.48,2.0
1.95,-6.56,2.0
-9.75,3.85,2.0
7.43,0.79,2.0
-9.46,6.98,2.0
-0.22,5.67,1.0
1.14,-8.34,2.0
8.2,-1.07,2.0
-7.68,-4.74,2.0
-5.49,5.84,2.0
-9.13,3.24,2.0
9.21,-9.62,2.0
1.58,9.7,1.0
-9.21,-8.36,2.0
8.91,2.32,2.0
-7.05,-9.58,2.0
-4.37,9.79,2.0
2.46,4.99,2.0
3.02,-0.28,2.0
-3.62,3.75,2.0
2.63,-6.49,2.0
-0.7,-1.14,2.0
-6.35,-9.16,2.0
-6.29,7.77,2.0
2.32,6.71,1.0
6.11,1.14,2.0
-0.05,8.42,1.0
1.4,9.95,1.0
-8.99,-8.03,2.0
2.74,-9.76,2.0
-4.68,-0.57,2.0
6.32,-9.34,2.0
3.09,-8.87,2.0
9.16,-1.17,2.0
-2.06,-0.15,2.0
-3.85,4.43,2.0
-2.38,1.11,2.0
2.09,6.71,1.0
4.72,-2.83,2.0
-0.25,-4.59,2.0
6.59,2.89,2.0
-9.14,5.66,2.0
-9.48,9.29,2.0
2.59,-9.44,2.0
4.05,-8.8,2.0
-0.17,4.7,1.0
4.01,7.6,2.0
7.77,-9.24,2.0
-9.81,2.95,2.0
7.38,8.72,2.0
1.65,-3.79,2.0
-3.55,-9.11,2.0
0.76,9.52,1.0
1.52,1.27,1.0
-0.9,-5.29,2.0
6.69,-3.27,2.0
-0.62,8.34,1.0
0.43,7.91,1.0
-6.14,4.99,2.0
0.9,7.13,1.0
5.5,1.15,2.0
-8.6,-7.25,2.0
-5.03,-3.88,2.0
7.34,8.47,2.0
7.79,-6.93,2.0
2.46,-8.78,2.0
5.51,7.71,2.0
-1.56,8.2,1.0
-2.03,8.31,1.0
5.99,7.53,2.0
-9.71,8.3,2.0
2.13,-7.88,2.0
7.66,1.01,2.0
0.85,1.3,1.0
5.95,-6.79,2.0
-4.5,-2.33,2.0
-2.37,-5.56,2.0
4.49,3.61,2.0
4.96,-0.18,2.0
-3.87,0.44,2.0
-4.19,8.62,2.0
-4.39,0.09,2.0
-9.88,-2.39,2.0
-9.54,4.35,2.0
-2.85,3.6,2.0
4.22,-7.27,2.0
-6.99,-9.53,2.0
-2.58,-4.44,2.0
-3.64,-1.33,2.0
0.36,0.54,1.0
-1.08,-7.82,2.0
9.18,-2.26,2.0
5.19,-4.04,2.0
-1.45,-9.76,2.0
2.41,-3.55,2.0
3.04,-4.5,2.0
-6.85,0.08,2.0
-3.17,1.0,2.0
-9.62,-9.73,2.0
9.11,5.15,2.0
-5.89,4.31,2.0
-2.14,8.16,1.0
1.94,6.76,1.0
8.96,7.59,2.0
6.0,0.12,2.0
1.57,-9.95,2.0
-2.65,3.88,2.0
-7.96,-5.15,2.0
8.7,7.87,2.0
5.71,3.75,2.0
7.38,7.62,2.0
5.02,-2.84,2.0
1.05,7.15,1.0
5.9,-6.92,2.0
-8.17,-4.5,2.0
-1.95,9.92,1.0
4.56,-2.82,2.0
-4.08,-0.73,2.0
3.72,5.96,2.0
-5.05,2.12,2.0
-2.96,-9.46,2.0
-6.58,8.63,2.0
-0.44,-4.17,2.0
9.89,3.99,2.0
-5.75,-5.65,2.0
-5.87,-3.56,2.0
5.04,8.13,2.0
3.91,-9.82,2.0
6.56,-3.27,2.0
-7.76,8.05,2.0
-1.18,-0.81,2.0
-2.02,-8.97,2.0
-3.97,7.06,2.0
2.06,4.43,1.0
-0.57,1.33,1.0
-5.52,-9.94,2.0
-9.96,-9.73,2.0
-4.25,-5.6,2.0
8.63,7.72,2.0
6.4,3.81,2.0
6.44,9.13,2.0
8.24,2.12,2.0
9.31,2.97,2.0
7.02,-5.21,2.0
-2.24,9.35,1.0
5.29,-6.07,2.0
8.39,9.96,2.0
4.3,-7.69,2.0
4.39,8.92,2.0
9.45,-4.83,2.0
-1.46,2.13,1.0
1.78,0.58,2.0
2.38,7.17,1.0
-2.36,7.58,1.0
5.49,-6.94,2.0
5.21,-2.83,2.0
-6.4,-9.0,2.0
-9.01,4.76,2.0
-0.7,-0.84,2.0
9.46,7.48,2.0
-2.71,-5.57,2.0
4.2,-7.94,2.0
7.04,2.4,2.0
-3.22,-2.46,2.0
-0.14,-9.03,2.0
4.51,3.91,2.0
-8.59,6.58,2.0
-0.38,-6.24,2.0
-3.85,-4.78,2.0
-9.91,3.06,2.0
4.17,-5.98,2.0
6.14,-1.05,2.0
-6.54,6.57,2.0
-0.63,1.81,1.0
1.84,3.8,1.0
-1.17,4.47,1.0
5.89,5.74,2.0
7.74,-0.41,2.0
6.8,2.75,2.0
-6.01,3.09,2.0
-7.6,-5.77,2.0
-5.58,0.95,2.0
-2.29,-5.2,2.0
1.68,0.79,2.0
-9.7,4.01,2.0
3.53,5.47,2.0
7.12,-8.32,2.0
-5.68,2.2,2.0
6.31,-8.93,2.0
3.39,8.76,2.0
-5.65,-0.09,2.0
-8.82,7.31,2.0
1.04,7.34,1.0
-7.77,4.88,2.0
