X,Y,Q
8.27,-5.07,2.0
-0.27,-0.96,2.0
-8.31,3.74,1.0
-7.65,3.24,1.0
2.57,0.98,2.0
3.95,-4.32,2.0
-0.89,-2.85,2.0
-2.79,1.9,1.0
-5.43,-6.58,1.0
4.27,-5.96,2.0
4.35,2.35,2.0
-6.94,0.78,1.0
-8.37,-0.52,1.0
-5.73,-6.47,1.0
7.66,-8.29,2.0
-6.0,4.97,1.0
-1.47,-6.34,2.0
7.71,-7.59,2.0
-1.07,-4.99,2.0
-2.96,-1.34,1.0
6.55,-2.0,2.0
4.86,1.9,2.0
-6.76,7.02,1.0
8.98,-9.84,2.0
-2.72,9.25,1.0
-8.88,-3.96,1.0
6.4,-3.3,2.0
-3.33,6.23,1.0
-0.93,5.79,1.0
-4.42,2.71,1.0
5.09,-3.21,2.0
-0.78,5.59,1.0
8.29,-4.81,2.0
5.77,-8.21,2.0
2.96,2.11,2.0
-6.81,0.06,1.0
-7.29,2.34,1.0
-3.97,8.07,1.0
-4.22,9.23,1.0
9.41,3.66,2.0
8.87,8.89,2.0
-3.38,1.48,1.0
-0.56,0.45,1.0
-3.77,-2.46,1.0
-8.58,7.04,1.0
-1.04,-9.91,2.0
9.93,-3.15,2.0
-3.73,6.46,1.0
-0.45,3.14,1.0
-6.02,7.15,1.0
-6.9,4.3,1.0
-8.12,8.94,1.0
2.15,-4.24,2.0
2.29,5.61,1.0
9.7,-8.0,2.0
9.84,0.96,2.0
-7.28,7.84,1.0
7.12,4.63,2.0
-2.67,8.73,1.0
7.9,0.1,2.0
-9.85,-8.64,1.0
3.83,-3.25,2.0
5.27,-4.53,2.0
-0.92,-0.88,2.0
-0.08,-8.56,2.0
-5.73,-6.0,1.0
1.07,-2.32,2.0
-3.03,-9.2,2.0
-2.72,-1.48,1.0
-6.59,1.12,1.0
2.95,-4.39,2.0
-0.19,3.21,1.0
7.95,-5.09,2.0
-9.87,-5.83,1.0
9.27,4.88,2.0
-3.72,-1.16,1.0
-7.64,9.23,1.0
-9.78,-0.01,1.0
-4.08,-3.49,1.0
-8.65,4.47,1.0
1.03,-6.78,2.0
-5.14,-2.68,1.0
-5.21,-0.02,1.0
-5.57,-7.23,1.0
3.76,-8.32,2.0
-4.95,1.33,1.0
-5.2,4.72,1.0
-2.16,-5.79,2.0
-7.23,8.06,1.0
3.6,-0.45,2.0
7.22,0.39,2.0
2.18,-9.53,2.0
-5.44,7.75,1.0
2.44,-9.13,2.0
-0.28,8.86,1.0
3.91,2.01,2.0
-7.95,6.05,1.0
-5.34,-4.95,1.0
4.78,7.9,2.0
-2.77,-7.82,2.0
