X,Y,Q
-8.58,3.45,1.0
8.5,3.84,2.0
7.4,-8.46,2.0
-3.03,-9.78,2.0
-9.25,-7.15,1.0
-1.23,-0.89,2.0
1.53,5.76,1.0
8.14,5.18,2.0
-9.63,9.38,1.0
-2.98,6.42,1.0
-5.85,5.46,1.0
0.25,-0.13,2.0
-9.94,-3.96,1.0
7.71,8.25,2.0
-7.01,-9.86,1.0
1.82,0.16,2.0
-0.31,-1.12,2.0
7.13,-6.74,2.0
-3.51,8.97,1.0
-2.11,-2.27,1.0
-4.48,-9.34,1.0
4.77,-5.84,2.0
-8.23,6.73,1.0
-7.52,10.0,1.0
7.49,6.66,2.0
-3.74,2.9,1.0
9.27,-0.45,2.0
6.7,1.12,2.0
0.68,-1.28,2.0
9.11,3.86,2.0
4.71,-2.95,2.0
3.96,1.82,2.0
5.09,-0.08,2.0
6.83,1.75,2.0
5.63,-3.3,2.0
8.33,-9.11,2.0
-8.11,7.94,1.0
-9.5,4.89,1.0
3.62,8.75,2.0
4.33,7.98,2.0
-2.43,-0.65,1.0
-5.41,-8.44,1.0
-4.8,4.38,1.0
7.07,8.2,2.0
-7.25,7.2,1.0
-5.23,-8.95,1.0
-7.0,9.49,1.0
-9.99,9.43,1.0
-8.86,1.87,1.0
4.2,-1.81,2.0
-9.48,-1.5,1.0
-5.17,4.7,1.0
-7.56,7.13,1.0
-7.21,-0.31,1.0
2.71,4.06,2.0
-5.49,-3.39,1.0
2.48,-4.4,2.0
8.21,-8.39,2.0
0.84,-3.31,2.0
-4.05,-8.05,1.0
9.03,-9.15,2.0
8.44,2.87,2.0
-9.55,-7.37,1.0
8.85,7.64,2.0
-1.65,2.47,1.0
9.72,7.53,2.0
-1.9,1.95,1.0
-8.61,0.34,1.0
2.57,-4.83,2.0
-0.42,8.7,1.0
8.83,2.69,2.0
0.07,-7.21,2.0
5.5,1.32,2.0
8.13,-7.91,2.0
-9.89,-7.77,1.0
3.57,4.31,2.0
-4.37,6.02,1.0
-3.53,5.93,1.0
-6.59,3.89,1.0
7.25,5.48,2.0
6.13,2.66,2.0
-1.59,6.82,1.0
-4.1,9.75,1.0
-2.23,-4.87,2.0
-8.65,-8.59,1.0
2.88,5.15,2.0
-6.39,-4.98,1.0
-8.31,2.9,1.0
-3.36,-8.41,1.0
3.65,2.35,2.0
9.96,-2.22,2.0
-6.66,6.49,1.0
7.75,-4.51,2.0
3.69,-1.44,2.0
-6.86,-6.02,1.0
-8.02,5.22,1.0
4.12,8.48,2.0
2.45,-5.74,2.0
-6.16,0.73,1.0
9.52,-1.22,2.0
-9.26,-0.06,1.0
9.76,-0.23,2.0
-9.95,3.54,1.0
3.51,8.54,2.0
-0.36,-5.09,2.0
-5.63,-0.55,1.0
-8.32,7.63,1.0
-8.69,4.21,1.0
3.02,-1.31,2.0
-4.36,5.8,1.0
-7.27,-4.93,1.0
3.09,8.59,1.0
8.75,1.69,2.0
-8.5,-0.42,1.0
5.71,-9.38,2.0
7.66,1.41,2.0
-5.57,5.44,1.0
-0.37,-2.9,2.0
0.6,8.79,1.0
-7.33,-2.23,1.0
-0.69,-1.55,2.0
-6.24,3.43,1.0
-4.31,-1.86,1.0
-5.53,9.48,1.0
8.42,4.81,2.0
5.46,5.97,2.0
0.56,-1.25,2.0
-1.09,-4.14,2.0
7.44,6.81,2.0
4.16,8.98,2.0
-8.73,-2.73,1.0
-8.42,9.86,1.0
7.9,7.59,2.0
2.25,-0.9,2.0
-0.21,1.31,1.0
0.79,3.87,1.0
-0.28,-7.06,2.0
-9.59,0.38,1.0
9.09,-4.11,2.0
-0.88,2.48,1.0
0.61,8.04,1.0
-3.48,-3.79,1.0
-6.29,0.16,1.0
-8.44,-9.04,1.0
9.11,9.56,2.0
6.61,7.74,2.0
-0.6,0.08,1.0
9.07,-2.53,2.0
8.02,-9.41,2.0
-7.86,0.87,1.0
-1.23,2.99,1.0
-0.56,1.69,1.0
-9.56,4.26,1.0
1.56,9.05,1.0
-5.26,-7.86,1.0
-1.25,7.18,1.0
4.91,-4.97,2.0
2.17,-0.87,2.0
5.49,-2.69,2.0
6.49,-8.3,2.0
1.63,-9.16,2.0
7.03,-8.54,2.0
-7.76,9.04,1.0
-7.23,2.73,1.0
9.39,3.55,2.0
-3.24,-6.03,1.0
3.02,-3.27,2.0
-7.32,2.73,1.0
-1.43,7.96,1.0
7.45,4.13,2.0
2.31,5.59,1.0
-2.84,6.3,1.0
-9.17,9.63,1.0
9.15,-0.53,2.0
4.88,7.73,2.0
4.46,-8.87,2.0
-6.59,-6.7,1.0
7.26,-7.46,2.0
3.3,-1.37,2.0
-8.85,6.33,1.0
-7.04,-7.93,1.0
4.75,-1.85,2.0
-8.23,1.84,1.0
0.26,1.2,1.0
1.41,5.64,1.0
-2.24,-3.35,2.0
-5.9,0.96,1.0
1.15,6.72,1.0
7.75,-0.7,2.0
-7.43,5.65,1.0
-1.68,2.97,1.0
-7.41,-6.7,1.0
-8.71,3.56,1.0
-6.88,-1.01,1.0
5.71,-5.43,2.0
-7.97,-4.86,1.0
-7.26,9.32,1.0
0.53,8.04,1.0
2.7,3.77,2.0
-1.16,0.71,1.0
6.12,4.45,2.0
-9.44,-1.49,1.0
5.66,6.01,2.0
7.06,4.87,2.0
-2.2,-2.49,1.0
-9.26,8.0,1.0
-3.87,8.86,1.0
3.7,1.91,2.0
-6.77,-9.59,1.0
-9.02,7.29,1.0
7.95,8.67,2.0
-1.8,-6.3,2.0
-9.26,-5.54,1.0
8.21,-4.52,2.0
0.03,0.69,1.0
2.31,7.56,1.0
8.94,6.61,2.0
-7.54,0.99,1.0
1.95,5.14,1.0
-6.39,8.06,1.0
-1.55,-0.64,1.0
-2.74,-4.21,1.0
4.52,-3.36,2.0
