X,Y,Q
4.14,0.17,1.0
4.05,-8.31,4.0
-8.22,9.89,2.0
1.25,2.74,1.0
0.33,-1.81,4.0
8.58,6.85,1.0
-3.03,4.0,2.0
9.44,6.02,1.0
2.2,1.1,1.0
-8.64,-5.46,3.0
5.5,5.87,1.0
7.34,-3.02,4.0
2.87,-1.16,4.0
-8.07,1.25,2.0
-4.65,8.81,2.0
1.63,-3.81,4.0
3.06,-4.16,4.0
9.94,0.04,1.0
9.57,1.56,1.0
0.82,2.56,1.0
4.43,-3.13,4.0
-1.41,9.54,2.0
3.75,-2.54,4.0
4.01,-8.46,4.0
4.16,1.66,1.0
-2.29,-0.42,3.0
7.02,-6.75,4.0
3.49,-2.28,4.0
-1.68,-7.95,3.0
4.95,-3.12,4.0
1.75,3.26,1.0
6.98,3.33,1.0
4.21,-2.28,4.0
2.4,9.83,1.0
6.93,-9.51,4.0
-5.67,-5.06,3.0
-4.27,-8.15,3.0
-6.25,1.76,2.0
2.98,7.75,1.0
-9.56,9.24,2.0
-5.75,8.27,2.0
7.73,-3.34,4.0
-3.09,8.43,2.0
-5.47,-8.04,3.0
-0.26,-2.91,3.0
9.11,9.13,1.0
-4.48,-6.4,3.0
6.0,8.22,1.0
5.77,6.62,1.0
-8.81,-2.74,3.0
2.32,-9.61,4.0
-1.85,6.76,2.0
-4.84,5.3,2.0
3.33,-6.71,4.0
-5.68,0.19,2.0
7.71,-2.88,4.0
-3.27,-3.52,3.0
-2.07,-9.59,3.0
-3.56,2.21,2.0
-8.74,-8.19,3.0
-5.91,-6.19,3.0
0.11,4.2,1.0
-1.91,-4.54,3.0
3.13,5.51,1.0
7.41,-7.52,4.0
-9.44,-8.3,3.0
1.85,0.74,1.0
7.75,-1.74,4.0
-6.3,-3.48,3.0
6.74,-3.55,4.0
1.59,7.3,1.0
-1.24,-2.06,3.0
-9.55,-3.33,3.0
2.04,2.13,1.0
6.53,3.15,1.0
-7.34,3.07,2.0
-1.42,-1.27,3.0
-8.5,-6.76,3.0
1.08,-7.42,4.0
-3.62,3.83,2.0
2.09,-2.2,4.0
6.02,5.37,1.0
7.83,-2.71,4.0
-1.86,-1.58,3.0
-1.06,6.53,2.0
-1.7,-9.63,3.0
8.78,-6.71,4.0
-2.1,-1.36,3.0
7.21,-6.98,4.0
-7.01,-9.92,3.0
1.95,-4.37,4.0
-5.65,-6.57,3.0
