X,Y,Q
-7.37,-8.47,1.0
-3.63,5.05,1.0
8.34,-9.92,2.0
0.62,-5.37,2.0
7.88,-2.37,2.0
8.69,-6.49,2.0
7.46,-8.32,2.0
-5.83,-2.6,1.0
4.94,6.47,2.0
-4.51,8.64,1.0
-9.15,-8.61,1.0
-4.65,-2.56,1.0
-8.95,-6.13,1.0
-8.7,-2.04,1.0
6.25,-6.52,2.0
7.72,2.84,2.0
-7.22,-3.73,1.0
-2.51,0.32,1.0
-1.79,0.35,1.0
9.73,8.3,2.0
-0.17,-1.87,2.0
-1.1,-4.81,2.0
6.64,-0.67,2.0
-9.56,5.99,1.0
-8.38,6.91,1.0
9.41,4.49,2.0
7.2,8.18,2.0
-1.25,-6.46,2.0
2.39,-2.45,2.0
5.81,7.79,2.0
-0.14,-8.25,2.0
9.78,-8.25,2.0
6.56,0.9,2.0
6.57,-1.06,2.0
-9.41,-8.23,1.0
3.17,-0.49,2.0
7.77,-3.83,2.0
6.99,-1.3,2.0
-7.99,0.74,1.0
2.48,-2.18,2.0
-1.07,-9.79,2.0
-4.89,-8.64,1.0
0.77,4.73,1.0
9.31,-6.92,2.0
5.96,-6.02,2.0
-0.03,3.96,1.0
0.52,-9.24,2.0
0.85,-7.45,2.0
1.51,5.82,1.0
-9.81,-5.97,1.0
8.95,5.28,2.0
-7.57,0.02,1.0
-1.6,5.89,1.0
-9.7,7.16,1.0
3.49,-1.92,2.0
-8.97,3.5,1.0
-8.08,-7.11,1.0
4.7,-1.64,2.0
7.04,0.52,2.0
-9.46,7.33,1.0
6.04,4.68,2.0
7.72,-3.77,2.0
-3.46,1.9,1.0
2.18,-1.89,2.0
2.64,2.94,2.0
8.48,9.43,2.0
0.13,6.6,1.0
-7.7,-1.14,1.0
1.82,-2.44,2.0
9.47,5.77,2.0
4.13,0.2,2.0
7.64,2.69,2.0
-9.31,1.17,1.0
9.51,0.69,2.0
-7.86,1.14,1.0
-4.55,0.59,1.0
7.44,-7.28,2.0
-6.73,-4.25,1.0
6.27,9.02,2.0
6.41,-7.93,2.0
-9.17,-6.51,1.0
-5.3,4.51,1.0
6.58,-8.25,2.0
-7.64,-0.2,1.0
9.04,4.3,2.0
6.02,-6.74,2.0
-6.89,8.05,1.0
2.16,-8.3,2.0
9.05,-1.61,2.0
-7.67,6.89,1.0
-9.01,-4.17,1.0
-6.22,-2.52,1.0
7.78,-9.21,2.0
-6.29,-2.96,1.0
5.83,-0.51,2.0
-4.52,-0.51,1.0
-3.75,-1.86,1.0
8.75,-5.41,2.0
-9.17,-1.71,1.0
6.69,3.79,2.0
4.15,-2.3,2.0
6.2,6.23,2.0
2.67,5.68,1.0
-0.57,2.05,1.0
-2.13,2.6,1.0
-6.33,7.63,1.0
7.61,4.35,2.0
3.78,3.29,2.0
8.38,1.24,2.0
3.35,-9.56,2.0
1.21,5.61,1.0
-0.48,5.18,1.0
7.91,-1.38,2.0
-8.05,-2.93,1.0
