X,Y,Q
7.14,5.56,1.0
-9.22,9.08,2.0
-7.51,4.57,2.0
-5.43,1.03,2.0
6.26,1.13,1.0
7.84,-6.45,4.0
-2.43,-7.13,3.0
5.8,3.82,1.0
-6.99,-6.77,3.0
3.15,-2.28,4.0
4.68,0.25,1.0
-4.78,-9.77,3.0
9.23,-8.24,4.0
4.46,8.27,1.0
2.7,6.34,1.0
1.37,4.54,1.0
7.56,2.35,1.0
-9.14,-0.56,3.0
-4.14,-8.32,3.0
-4.37,0.69,2.0
-1.45,5.63,2.0
0.87,-9.66,4.0
-6.36,-6.7,3.0
5.99,0.54,1.0
2.61,-1.87,4.0
1.84,2.52,1.0
-1.85,-2.69,3.0
-2.8,-5.55,3.0
5.39,2.12,1.0
-7.26,9.29,2.0
3.02,-2.4,4.0
1.38,5.46,1.0
7.27,1.42,1.0
8.39,-8.89,4.0
8.74,1.58,1.0
-7.54,1.4,2.0
8.29,-9.3,4.0
-5.55,-4.07,3.0
-6.69,-6.96,3.0
8.14,-5.55,4.0
-1.79,4.8,2.0
6.69,6.34,1.0
1.26,7.28,1.0
-6.17,-4.5,3.0
-2.7,-0.88,3.0
-5.51,-7.98,3.0
9.23,4.45,1.0
-8.99,-0.92,3.0
8.56,-9.84,4.0
-7.41,-5.2,3.0
-0.57,-7.06,3.0
-1.74,-5.07,3.0
2.79,-6.47,4.0
4.56,-0.61,4.0
-4.36,7.98,2.0
4.62,2.49,1.0
-5.98,4.38,2.0
-3.25,-3.43,3.0
-7.48,3.89,2.0
-0.6,7.81,2.0
4.19,9.15,1.0
1.3,-8.0,4.0
-4.2,-2.79,3.0
-8.59,3.13,2.0
0.9,1.08,1.0
-2.99,-1.42,3.0
9.38,3.1,1.0
2.34,0.88,1.0
-5.4,-5.01,3.0
-9.73,9.9,2.0
-6.24,-3.14,3.0
-4.0,0.84,2.0
2.44,1.16,1.0
8.51,-4.2,4.0
7.2,-9.82,4.0
-0.6,-4.42,3.0
-5.55,7.07,2.0
3.13,-7.97,4.0
8.48,9.25,1.0
4.78,6.17,1.0
8.19,5.8,1.0
-6.77,3.42,2.0
2.92,2.43,1.0
0.65,7.06,1.0
-8.7,-1.44,3.0
3.5,5.08,1.0
-0.24,5.88,2.0
-6.36,5.02,2.0
7.61,-1.68,4.0
-6.29,-6.09,3.0
-9.89,3.98,2.0
6.25,0.8,1.0
1.37,4.52,1.0
-5.18,3.23,2.0
1.7,9.65,1.0
9.69,-4.91,4.0
-4.61,-7.01,3.0
0.47,4.96,1.0
-8.1,-8.98,3.0
7.44,0.17,1.0
-6.52,0.56,2.0
5.08,7.67,1.0
10.0,9.95,1.0
1.86,-2.96,4.0
-0.17,5.06,2.0
-6.34,-6.21,3.0
-3.49,5.38,2.0
-5.63,-1.76,3.0
-4.56,-9.92,3.0
-8.34,-7.86,3.0
9.39,-9.59,4.0
0.62,6.91,1.0
8.64,-6.59,4.0
9.56,-8.93,4.0
-2.49,-6.14,3.0
7.7,9.96,1.0
-9.45,2.5,2.0
-5.86,-7.05,3.0
-1.46,-3.09,3.0
-4.26,-6.62,3.0
1.08,-5.66,4.0
7.33,-2.27,4.0
7.96,8.97,1.0
2.59,2.76,1.0
5.09,9.74,1.0
-5.59,-1.68,3.0
-4.58,1.21,2.0
-5.1,7.72,2.0
-7.4,-7.72,3.0
7.26,-9.75,4.0
-1.64,-2.53,3.0
6.73,-9.92,4.0
-4.34,1.78,2.0
3.73,-7.47,4.0
9.17,7.39,1.0
3.22,-5.93,4.0
8.77,0.64,1.0
-6.05,-4.63,3.0
2.15,-6.22,4.0
4.51,6.23,1.0
2.02,3.13,1.0
-3.28,-3.06,3.0
1.85,6.71,1.0
-8.33,5.97,2.0
-2.75,4.22,2.0
-3.39,-3.75,3.0
6.26,6.72,1.0
-6.76,-1.31,3.0
2.2,-6.8,4.0
9.89,-3.72,4.0
-7.75,9.61,2.0
-1.45,3.55,2.0
-8.52,3.09,2.0
-5.02,-7.23,3.0
8.32,7.03,1.0
-1.53,-3.61,3.0
5.65,2.93,1.0
4.43,-2.09,4.0
7.12,2.79,1.0
-9.62,2.61,2.0
-9.04,-0.6,3.0
-4.14,-9.94,3.0
-9.56,-8.06,3.0
-8.49,0.76,2.0
5.75,-7.03,4.0
-2.2,3.63,2.0
-6.74,-4.51,3.0
5.12,8.95,1.0
4.32,3.31,1.0
8.02,2.61,1.0
-0.14,7.85,2.0
-0.7,6.81,2.0
-1.81,-2.39,3.0
-0.19,5.68,2.0
5.68,0.74,1.0
2.14,-6.05,4.0
-6.29,-1.35,3.0
2.61,4.17,1.0
-3.19,2.72,2.0
-6.5,2.37,2.0
1.79,-5.54,4.0
-4.31,4.61,2.0
1.13,8.99,1.0
1.66,7.59,1.0
2.34,-5.99,4.0
-2.69,-0.99,3.0
-9.13,-6.65,3.0
-0.06,9.05,2.0
-0.84,9.98,2.0
-3.16,4.65,2.0
-6.15,9.4,2.0
4.63,6.34,1.0
-5.71,8.95,2.0
-8.78,-6.19,3.0
5.14,-1.68,4.0
-0.11,5.59,2.0
-0.52,-6.13,3.0
4.11,1.23,1.0
2.87,-4.46,4.0
-1.43,-1.79,3.0
-2.57,-0.77,3.0
2.3,9.7,1.0
-0.54,-4.16,3.0
-4.98,9.68,2.0
-3.29,-2.21,3.0
4.89,-0.28,4.0
4.26,0.03,1.0
-8.8,9.26,2.0
-9.3,1.9,2.0
3.25,-5.04,4.0
6.94,9.71,1.0
2.95,-3.2,4.0
-4.81,-9.59,3.0
-7.22,-0.23,3.0
-7.71,0.94,2.0
-5.0,-0.62,3.0
5.74,-1.55,4.0
9.13,-0.09,4.0
-0.51,-4.18,3.0
-5.27,-0.08,3.0
6.28,-0.16,4.0
-4.21,-6.53,3.0
-0.25,-1.93,3.0
5.45,6.05,1.0
2.34,-9.6,4.0
-7.92,-4.82,3.0
-8.8,-5.49,3.0
0.36,2.52,1.0
-6.09,9.84,2.0
-5.29,8.58,2.0
-2.43,2.98,2.0
-3.62,-2.95,3.0
-5.35,-5.74,3.0
-1.89,1.91,2.0
8.55,7.83,1.0
-3.61,-8.84,3.0
9.84,7.36,1.0
-4.2,-8.26,3.0
6.28,-5.11,4.0
-7.08,3.84,2.0
-9.77,1.46,2.0
6.14,0.94,1.0
-1.03,2.74,2.0
3.04,6.63,1.0
3.83,7.54,1.0
-0.97,-8.9,3.0
2.8,2.03,1.0
3.48,-7.47,4.0
-4.72,-8.61,3.0
-6.95,-6.53,3.0
1.4,1.07,1.0
-6.04,-0.66,3.0
-9.28,-7.42,3.0
4.69,7.24,1.0
4.49,5.72,1.0
4.13,-0.2,4.0
4.48,-5.42,4.0
-5.56,-7.27,3.0
1.07,9.92,1.0
-1.29,4.57,2.0
8.81,-4.8,4.0
7.3,-3.39,4.0
-5.46,8.85,2.0
2.05,5.6,1.0
-4.16,5.88,2.0
-9.49,3.34,2.0
-5.57,3.78,2.0
-8.57,9.2,2.0
2.53,4.24,1.0
-2.63,4.54,2.0
1.78,-5.65,4.0
-2.77,0.91,2.0
8.63,-5.52,4.0
8.48,0.17,1.0
-5.17,5.27,2.0
-5.85,8.94,2.0
4.19,8.73,1.0
-7.78,-5.17,3.0
9.15,2.24,1.0
8.62,6.59,1.0
-6.69,-8.12,3.0
-0.29,-3.06,3.0
0.54,8.5,1.0
5.92,9.76,1.0
8.41,-8.87,4.0
-2.76,-7.06,3.0
-2.89,2.09,2.0
-1.78,-2.93,3.0
-6.37,-6.12,3.0
6.4,5.64,1.0
-3.94,-4.21,3.0
-2.41,-6.64,3.0
1.62,-9.45,4.0
3.69,8.05,1.0
0.84,2.96,1.0
-3.96,-3.16,3.0
7.19,6.11,1.0
-8.92,-9.14,3.0
6.56,-6.58,4.0
-7.43,2.26,2.0
9.91,8.17,1.0
-8.84,8.83,2.0
-5.42,8.32,2.0
6.56,-4.07,4.0
-4.85,-3.11,3.0
-7.06,9.62,2.0
-3.3,-3.26,3.0
-0.95,-9.04,3.0
8.94,-3.09,4.0
-2.29,-4.76,3.0
-6.59,-7.22,3.0
-0.01,5.02,2.0
4.28,3.24,1.0
-9.54,1.16,2.0
9.76,-9.14,4.0
9.05,5.13,1.0
1.32,-4.18,4.0
8.37,-2.47,4.0
8.53,-0.42,4.0
-3.7,-9.91,3.0
-7.57,-4.33,3.0
8.64,-0.63,4.0
8.02,6.9,1.0
4.47,-8.56,4.0
3.46,2.78,1.0
2.27,-5.17,4.0
-7.36,8.18,2.0
-5.51,-6.94,3.0
1.9,8.53,1.0
-5.46,-2.36,3.0
4.81,-1.79,4.0
-1.58,-7.02,3.0
-7.48,-6.33,3.0
-1.54,0.02,2.0
5.92,-7.17,4.0
8.47,8.04,1.0
-2.25,8.55,2.0
-6.95,6.65,2.0
-0.98,5.0,2.0
-9.89,-2.76,3.0
-9.79,4.53,2.0
-5.28,9.55,2.0
-0.35,6.32,2.0
3.46,-4.92,4.0
0.67,-7.7,4.0
-8.16,-7.6,3.0
8.81,-7.64,4.0
-5.21,-6.14,3.0
-2.64,6.82,2.0
6.77,4.5,1.0
4.84,-4.25,4.0
-0.55,2.39,2.0
6.18,9.93,1.0
9.81,9.41,1.0
-5.15,-4.42,3.0
2.41,9.89,1.0
0.35,-3.99,4.0
1.27,2.71,1.0
1.27,-1.9,4.0
-9.9,3.18,2.0
-5.27,-1.35,3.0
3.94,6.44,1.0
-1.92,-6.22,3.0
-3.06,-1.43,3.0
-2.6,2.07,2.0
8.54,-5.67,4.0
-2.35,-0.9,3.0
1.65,-6.44,4.0
-5.12,3.44,2.0
5.16,6.21,1.0
3.33,5.91,1.0
-8.53,-4.87,3.0
-1.74,7.16,2.0
-9.94,-5.95,3.0
-8.94,8.8,2.0
-1.1,9.83,2.0
-2.83,4.71,2.0
8.64,-0.75,4.0
9.9,-5.52,4.0
-8.25,-6.24,3.0
4.99,2.74,1.0
3.79,-8.67,4.0
-1.74,5.06,2.0
1.77,-8.36,4.0
-1.57,-9.85,3.0
6.99,-8.49,4.0
-7.09,-6.34,3.0
-3.22,4.59,2.0
7.79,-6.82,4.0
-7.75,-1.5,3.0
-1.05,-5.02,3.0
-1.68,-5.26,3.0
-0.74,9.57,2.0
