X,Y,Q
-5.07,5.75,1.0
-5.79,0.93,1.0
3.07,-7.63,2.0
7.33,4.26,2.0
4.68,5.52,2.0
-6.75,9.7,1.0
3.37,9.33,2.0
4.93,-8.78,2.0
1.55,-1.59,2.0
-2.08,6.69,1.0
1.95,-9.93,2.0
-5.02,-5.06,1.0
5.13,-3.15,2.0
0.29,-7.48,2.0
-7.38,8.5,1.0
1.28,9.66,1.0
-3.16,9.06,1.0
-8.63,-4.32,1.0
-8.01,7.51,1.0
9.18,2.76,2.0
-1.15,-2.08,2.0
1.72,8.74,1.0
2.83,0.21,2.0
-2.92,9.07,1.0
1.77,5.67,1.0
-0.01,-7.06,2.0
-3.52,8.27,1.0
-3.01,5.91,1.0
8.43,3.2,2.0
3.57,-1.25,2.0
9.63,-0.21,2.0
0.45,2.52,1.0
8.37,-3.18,2.0
1.1,6.58,1.0
1.71,-4.14,2.0
-0.18,-2.03,2.0
-6.03,-6.51,1.0
9.63,9.03,2.0
-3.68,4.23,1.0
-2.7,7.28,1.0
-2.13,-0.41,1.0
6.56,-1.9,2.0
-0.55,-5.59,2.0
-2.29,-0.29,1.0
3.34,8.29,2.0
-5.47,2.92,1.0
-8.25,-2.86,1.0
1.34,-6.38,2.0
-3.75,5.04,1.0
0.82,-4.12,2.0
4.73,-9.95,2.0
6.04,-3.38,2.0
-7.4,-3.84,1.0
-3.07,5.44,1.0
-2.03,-4.06,2.0
3.49,2.65,2.0
-6.83,4.4,1.0
8.92,-1.1,2.0
-6.97,4.32,1.0
0.92,-5.1,2.0
-5.99,-2.67,1.0
6.34,-8.94,2.0
-2.68,6.91,1.0
-0.69,-1.09,2.0
8.23,1.69,2.0
8.18,2.19,2.0
2.19,8.64,1.0
-7.75,-2.2,1.0
-0.35,8.01,1.0
9.2,-3.84,2.0
-1.26,6.32,1.0
-9.91,-7.76,1.0
-3.28,9.8,1.0
0.13,-5.17,2.0
7.64,-1.0,2.0
2.86,-9.73,2.0
3.35,7.06,2.0
0.2,6.12,1.0
4.01,5.62,2.0
-4.84,-6.57,1.0
-8.62,-2.76,1.0
-1.27,0.67,1.0
-6.77,5.5,1.0
-7.91,-7.95,1.0
-2.21,-1.83,1.0
5.25,-6.73,2.0
-8.15,1.91,1.0
4.15,-9.99,2.0
2.58,3.76,2.0
6.23,-6.44,2.0
5.26,-4.62,2.0
1.87,0.03,2.0
3.65,-4.87,2.0
9.26,-2.06,2.0
7.72,-7.77,2.0
6.66,-6.0,2.0
-6.38,1.37,1.0
-4.71,-6.62,1.0
-5.0,-8.76,1.0
2.98,4.2,2.0
3.71,-0.36,2.0
4.42,-2.04,2.0
0.55,0.95,1.0
-6.9,6.42,1.0
9.8,9.1,2.0
8.92,5.79,2.0
2.86,7.83,1.0
2.56,-8.76,2.0
0.5,-7.39,2.0
7.34,4.71,2.0
1.58,-3.25,2.0
-1.83,-6.79,2.0
-0.47,1.51,1.0
0.53,7.91,1.0
8.45,1.55,2.0
2.64,-9.8,2.0
5.49,4.53,2.0
-7.53,8.91,1.0
4.52,2.15,2.0
6.62,5.62,2.0
-3.27,0.33,1.0
-1.37,-3.43,2.0
3.0,-3.74,2.0
8.2,-7.23,2.0
9.89,6.22,2.0
-2.98,-7.08,2.0
-0.02,3.37,1.0
1.31,3.08,1.0
-5.42,2.56,1.0
-1.0,-9.89,2.0
-0.36,6.55,1.0
-1.66,6.4,1.0
-7.06,-8.25,1.0
8.33,8.1,2.0
-5.81,-8.77,1.0
4.57,2.5,2.0
8.43,-0.02,2.0
5.3,8.94,2.0
2.22,-4.74,2.0
-4.96,2.5,1.0
8.39,9.16,2.0
2.78,7.78,1.0
-3.34,1.69,1.0
3.69,9.41,2.0
7.75,5.35,2.0
7.62,0.13,2.0
-5.98,0.14,1.0
7.55,5.69,2.0
-5.14,-3.32,1.0
-7.93,9.58,1.0
-7.48,-0.78,1.0
