Observation,Q_Values
"[-0.018, -0.028, 0.035, -0.002]","[6.274392626691544, 23.55017957806863]"
"[-0.018, -0.224, 0.035, 0.301]","[12.27012713696114, 20.83092650469655]"
"[-0.023, -0.029, 0.041, 0.019]","[11.523431078599495, 22.055481357274683]"
"[-0.023, 0.166, 0.041, -0.26]","[6.584914440151595, 24.657890303863446]"
"[-0.02, 0.36, 0.036, -0.54]","[9.747429206662087, 15.264744112791597]"
"[-0.013, 0.555, 0.025, -0.821]","[19.56612425347666, 12.8730667621771]"
"[-0.002, 0.359, 0.009, -0.52]","[8.946106465936621, 20.62008977425192]"
"[0.006, 0.164, -0.002, -0.225]","[12.994474510020218, 18.136670846608563]"
"[0.009, 0.359, -0.006, -0.518]","[16.60164458691366, 12.970119137113183]"
"[0.016, 0.554, -0.017, -0.813]","[6.304549328324514, 8.585999163965743]"
"[0.027, 0.359, -0.033, -0.526]","[24.040671352176748, 17.204888604898702]"
"[0.034, 0.555, -0.044, -0.829]","[7.214886453908893, 8.76779035858982]"
"[0.046, 0.36, -0.06, -0.55]","[20.041078550620565, 5.507099987119714]"
"[0.053, 0.166, -0.071, -0.277]","[14.490509298988126, 22.641077523644192]"
"[0.056, -0.028, -0.077, -0.007]","[10.076951158471294, 19.19233744435826]"
"[0.055, 0.168, -0.077, -0.323]","[11.175707126497503, 18.117776885137665]"
"[0.059, 0.364, -0.083, -0.639]","[13.77097121315289, 24.920915545971727]"
"[0.066, 0.561, -0.096, -0.957]","[5.3802639252094675, 12.63902637204283]"
"[0.077, 0.757, -0.115, -1.278]","[9.877662245777303, 20.429461961283174]"
"[0.092, 0.953, -0.141, -1.604]","[13.358830149537095, 15.343677582642073]"
"[0.112, 1.15, -0.173, -1.937]","[19.005904790470744, 7.797771675550916]"
"[0.015, -0.028, 0.044, 0.035]","[24.262108810116437, 12.23800640661583]"
"[0.014, 0.166, 0.044, -0.244]","[9.730132668666258, 14.38632038733396]"
"[0.017, 0.361, 0.039, -0.522]","[16.406945767998135, 8.945522158455201]"
"[0.025, 0.165, 0.029, -0.217]","[24.96589659590076, 8.413112646384636]"
"[0.028, 0.36, 0.025, -0.501]","[12.810145309150824, 20.712452388926053]"
"[0.035, 0.555, 0.015, -0.785]","[8.54649357412245, 12.260247331802427]"
"[0.046, 0.359, -0.001, -0.488]","[15.02208647942197, 18.627410623577187]"
"[0.053, 0.164, -0.011, -0.196]","[21.118746958376697, 23.624939344479863]"
"[0.057, -0.031, -0.015, 0.093]","[11.583448046730549, 13.877849135921123]"
"[0.056, 0.165, -0.013, -0.204]","[16.106850761972883, 9.497559743705814]"
"[0.059, 0.36, -0.017, -0.501]","[9.793568581183523, 19.76621122887675]"
"[0.067, 0.555, -0.027, -0.799]","[10.337210205232655, 11.908328418392902]"
"[0.078, 0.36, -0.043, -0.515]","[10.176570231446755, 21.688755352036758]"
"[0.085, 0.166, -0.053, -0.236]","[19.335979345458355, 21.624775500648425]"
"[0.088, -0.028, -0.058, 0.04]","[6.322963162116686, 17.639753493573217]"
"[0.088, -0.223, -0.057, 0.314]","[18.53543558077631, 6.631526735435482]"
"[0.083, -0.027, -0.051, 0.003]","[9.997495367996406, 16.65670982141276]"
"[0.083, 0.169, -0.051, -0.305]","[23.218179352428727, 20.18608759019231]"
"[0.086, -0.025, -0.057, -0.029]","[15.112728507663814, 22.99073791359944]"
"[0.086, -0.22, -0.058, 0.246]","[5.101613944829621, 23.631875060864886]"
"[0.081, -0.414, -0.053, 0.52]","[5.693737368948513, 16.3572017819166]"
"[0.073, -0.608, -0.042, 0.795]","[15.02534555713746, 20.94658360364]"
"[0.061, -0.803, -0.026, 1.074]","[21.363636636561253, 24.42148937440979]"
"[0.045, -0.997, -0.005, 1.359]","[13.917530563704695, 5.450823473815964]"
"[0.025, -1.192, 0.022, 1.65]","[16.166528280059243, 16.62939529320011]"
"[0.001, -1.388, 0.055, 1.949]","[21.56963671216225, 10.905666047857704]"
"[-0.027, -1.584, 0.094, 2.259]","[22.885119725465998, 10.94588142020973]"
"[-0.059, -1.779, 0.14, 2.579]","[20.36943502997735, 15.734295729784385]"
"[-0.094, -1.586, 0.191, 2.332]","[10.783363081540502, 18.767514196148255]"
"[0.006, 0.025, 0.036, -0.011]","[20.149914124667816, 17.222488208498962]"
"[0.007, -0.171, 0.036, 0.293]","[18.333382157427746, 22.46722932901326]"
"[0.003, -0.367, 0.042, 0.597]","[19.172211746928447, 5.022058602479905]"
"[-0.004, -0.172, 0.054, 0.317]","[24.451809710985206, 8.282635983577135]"
"[-0.007, 0.022, 0.06, 0.042]","[11.809289278557287, 10.807903520848818]"
"[-0.007, 0.217, 0.061, -0.231]","[15.866579411342826, 10.248713942560224]"
"[-0.003, 0.021, 0.056, 0.08]","[17.733878219837614, 16.00656639473897]"
"[-0.002, 0.215, 0.058, -0.194]","[8.660702913472246, 9.01193323508054]"
"[0.002, 0.019, 0.054, 0.116]","[13.256655421389656, 17.370518699426306]"
"[0.002, -0.177, 0.056, 0.425]","[11.940139974668815, 20.660031185900557]"
"[-0.001, -0.373, 0.065, 0.735]","[5.437334440895407, 6.315175054964692]"
"[-0.009, -0.569, 0.079, 1.048]","[10.442746309059142, 12.024075840847427]"
"[-0.02, -0.765, 0.1, 1.364]","[24.41933065825599, 19.332030931838744]"
"[-0.035, -0.571, 0.128, 1.104]","[23.720506453906943, 24.69681998694366]"
"[-0.047, -0.768, 0.15, 1.434]","[17.84442509803859, 21.092980635577735]"
"[-0.062, -0.575, 0.178, 1.192]","[19.437346773936355, 11.729680827844636]"
"[-0.073, -0.382, 0.202, 0.96]","[10.55880639446839, 17.7394254239619]"
"[0.049, -0.007, 0.048, -0.046]","[7.269518053542292, 8.811474910317955]"
"[0.049, -0.203, 0.048, 0.262]","[10.470911310222384, 22.50459942508772]"
"[0.045, -0.399, 0.053, 0.569]","[16.34926301768405, 15.408136611742382]"
"[0.037, -0.204, 0.064, 0.294]","[11.506518562164645, 24.022643166008272]"
"[0.032, -0.4, 0.07, 0.606]","[24.948997031568133, 7.52934467827208]"
"[0.024, -0.596, 0.082, 0.92]","[20.977263911670846, 19.071471310686952]"
